PlayerID,nameFirst,nameLast,FullName,DebutYear,FinalYear,Years,W,L,WPct,ERA,G,GS,GF,CG,SHO,SV,IPOuts,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BFP,WHIP,H9,HR9,BB9,SO9,SOW,SH,SF,GIDP,GG,InductionYear,votedBy
mcquige01,George,McQuillan,George McQuillan,1907,1918,10,85,89,0.488505747,2.380841621,273,173,76,105,17,14,4729,1576.33333,1382,577,417,23,401,0,590,30,0,16,6297,1.131105944,7.890463117,0.131317404,2.289490383,3.368576873,1.471321696,0,0,0,0,0,
mcquihu01,Hugh,McQuillan,Hugh McQuillan,1918,1927,10,88,94,0.483516484,3.832443962,279,204,55,95,10,16,4685,1561.66667,1703,784,665,67,489,0,446,18,2,19,6697,1.403628599,9.814514387,0.386125933,2.818143004,2.570330838,0.91206544,0,0,0,0,0,
mcwilla01,Larry,McWilliams,Larry McWilliams,1978,1990,13,78,90,0.464285714,3.985026746,370,224,44,34,13,3,4675,1558.33333,1548,768,690,137,542,58,940,52,15,52,6702,1.341176473,8.940320875,0.791229948,3.130267386,5.428877017,1.734317343,0,0,0,0,0,
meadole01,Lee,Meadows,Lee Meadows,1915,1929,15,188,180,0.510869565,3.374288121,490,406,56,219,25,7,9482,3160.66667,3280,1491,1185,84,956,0,1063,90,6,60,13371,1.34022358,9.33980172,0.239190044,2.722210501,3.026893057,1.111924686,0,0,0,0,0,
mechegi01,Gil,Meche,Gil Meche,1999,2010,10,84,83,0.502994012,4.486385861,258,243,3,7,3,0,4297,1432.33333,1441,772,714,176,594,13,1050,29,2,38,6191,1.420758672,9.054456619,1.105887831,3.732371431,6.597626266,1.767676768,25,43,0,0,0,
mecirji01,Jim,Mecir,Jim Mecir,1995,2005,11,29,35,0.453125,3.774193548,474,0,126,0,0,12,1581,527,482,240,221,41,225,28,450,23,1,19,2263,1.341555977,8.231499051,0.700189753,3.842504744,7.685009488,2,15,10,0,0,0,
medicdo01,Doc,Medich,Doc Medich,1972,1982,11,124,105,0.541484716,3.768909674,312,287,8,71,16,2,5989,1996.33333,2036,925,836,151,624,48,955,35,6,49,8471,1.332442814,9.178827866,0.680748039,2.81315746,4.305393228,1.530448718,0,0,0,0,0,
meekijo01,Jouett,Meekin,Jouett Meekin,1891,1900,10,153,133,0.534965035,4.06901409,324,308,16,270,9,2,7810,2603.33333,2831,1704,1177,67,1058,0,900,31,0,114,857,1.493854035,9.787067874,0.231626121,3.657618443,3.111395651,0.850661626,0,0,0,0,0,
mendora01,Ramiro,Mendoza,Ramiro Mendoza,1996,2005,10,59,40,0.595959596,4.30238394,342,62,76,2,2,16,2391,797,891,412,381,82,181,23,463,35,3,14,3422,1.345043915,10.06148055,0.925972396,2.04391468,5.228356336,2.55801105,7,13,0,0,0,
merckke01,Kent,Mercker,Kent Mercker,1989,2008,18,74,67,0.524822695,4.155935624,692,150,157,2,1,25,3976,1325.33333,1307,676,612,154,607,47,917,32,15,55,5792,1.444164994,8.87550304,1.045774651,4.121981902,6.227112692,1.510708402,17,8,0,0,0,
